2506180001	GNCI25060001
2506180002	GNCI25060003
2506180003	GNCI25060004
2506180004	GNCI25060002
2506180010	GNCI25060005
2506190003	GNCI25060007
2506190004	GNCI25060006
2506190005	GNCI25060009
2506190007	GNCI25060008
2506200004	GNCI25060011
2506200005	GNCI25060010
2506200006	GNCI25060012
2506230002	GNCI25060014
2506230003	GNCI25060013
2506230004	GNCI25060020
2506230005	GNCI25060015
2506230006	GNCI25060019
2506230007	GNCI25060022
2506230008	GNCI25060021
2506230010	GNCI25060017
2506230011	GNCI25060018
2506230012	GNCI25060016
2506240002	GNCI25060027
2506240003	GNCI25060023
2506250006	GNCI25060024
2506250007	GNCI25060025
2506250008	GNCI25060026
